index,osmid,y,x,street_count,highway,ref,geometry,avg_minutes,15_minutes
3521,570340208,51.2163639,6.7950759,3,,,POINT (6.7950759 51.2163639),6.0,True
15598,7773277816,51.2395562,6.7870597,3,crossing,,POINT (6.7870597 51.2395562),0.0,True
15721,7896812003,51.2014292,6.7886697,3,,,POINT (6.7886697 51.2014292),1.3333333333333333,True
15864,8047910987,51.2223654,6.7756033,1,,,POINT (6.7756033 51.2223654),1.6666666666666667,True
9932,3165421586,51.2029719,6.7554731,1,,,POINT (6.7554731 51.2029719),46.333333333333336,False
15168,7687756774,51.2414215,6.7794421,4,crossing,,POINT (6.7794421 51.2414215),1.6666666666666667,True
7628,1742945559,51.219143,6.7680236,3,,,POINT (6.7680236 51.219143),4.666666666666667,True
12635,4362137337,51.2090533,6.7712325,3,,,POINT (6.7712325 51.2090533),2.0,True
39,26815206,51.2502556,6.7714093,3,,,POINT (6.7714093 51.2502556),5.0,True
7303,1624659245,51.2133528,6.7786834,3,,,POINT (6.7786834 51.2133528),2.0,True
11545,3578144262,51.2189036,6.7784057,3,,,POINT (6.7784057 51.2189036),1.3333333333333333,True
9473,2735335565,51.2173928,6.8054868,3,,,POINT (6.8054868 51.2173928),16.333333333333332,False
8481,2211633452,51.2454449,6.7693648,3,,,POINT (6.7693648 51.2454449),7.0,True
8130,2043197587,51.2514436,6.8138246,3,,,POINT (6.8138246 51.2514436),32.666666666666664,False
5450,1508725753,51.2314225,6.7485336,4,crossing,,POINT (6.7485336 51.2314225),21.333333333333332,False
12433,4242852811,51.228101,6.7900247,1,,,POINT (6.7900247 51.228101),1.3333333333333333,True
6814,1589505773,51.2161661,6.7653198,1,,,POINT (6.7653198 51.2161661),7.333333333333333,True
5298,1378772694,51.2189003,6.802155,4,,,POINT (6.802155 51.2189003),15.666666666666666,False
3995,670666806,51.2195268,6.8119745,3,crossing,,POINT (6.8119745 51.2195268),26.333333333333332,False
8282,2092814110,51.2468718,6.7692006,4,,,POINT (6.7692006 51.2468718),3.3333333333333335,True
8329,2167669426,51.2058697,6.7624162,3,,,POINT (6.7624162 51.2058697),9.666666666666666,True
12795,4559226320,51.2414728,6.75394,3,,,POINT (6.75394 51.2414728),34.333333333333336,False
11524,3578141747,51.2164753,6.7790625,1,,,POINT (6.7790625 51.2164753),3.0,True
4126,722792855,51.2285573,6.7842412,3,,,POINT (6.7842412 51.2285573),1.0,True
15334,7721049171,51.2364088,6.7943969,1,,,POINT (6.7943969 51.2364088),7.0,True
7335,1628722692,51.2207447,6.8192351,3,,,POINT (6.8192351 51.2207447),32.333333333333336,False
4459,938653240,51.2005181,6.7983533,4,,,POINT (6.7983533 51.2005181),12.666666666666666,True
951,253391839,51.2415002,6.8075804,3,,,POINT (6.8075804 51.2415002),21.333333333333332,False
14910,7522004771,51.204736,6.7430881,3,,,POINT (6.7430881 51.204736),28.666666666666668,False
15175,7687757735,51.2410834,6.7717288,1,,,POINT (6.7717288 51.2410834),3.0,True
12753,4518765316,51.2482603,6.7916736,3,,,POINT (6.7916736 51.2482603),2.3333333333333335,True
